Question,Answer
"Yes, Im looking for a comfortable hotel room","Sure Have you heard about the Lihao Hotel Its located in 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have different room types to choose from  Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Room"
Wow thats a lot of options What are the prices,"Sure The Comfort Standard Room costs 108rmb, the Comfort Single Room costs 108rmb, the Business Duplex Standard Room costs 108rmb, the Business Duplex King Room costs 108rmb, the Executive Business Standard King Room costs 128rmb, the Fashionable Smart Standard Room costs 158rmb, the Fashionable Smart King Room costs 158rmb, the Leisure Duplex Chess Room costs 200rmb, and the Diversified Smart Film Room costs 400rmb"
What amenities do you offer,"We offer free WiFi, with the password being the room number We also have a gym that is available for guests, as well as an air conditioning, washing machine, hair dryer, television, and electric kettle We also offer free parking near the hotel and have a breakfast buffet from 930 am to 1030 am There are also plenty of nearby amenities such as a supermarket, cinema, and market"
Sounds great May I checkin at around 3 pm,"Yes, of course The checkin time is at 3 pm and checkout time is at 12 pm If you have any questions, you can reach us at the front desk telephone number which is 1234567789"
Hi Emilia Id like to make a reservation for a room,"Certainly, what type of room would you like We have Comfort Standard Room and Comfort Single Room, Business Duplex Standard Room and Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room and Fashionable Smart King Room, Leisure Duplex Chess Room and Leisure Duplex Chess Room, and Diversified Smart Film Room"
I was thinking of one of the Comfort Single Rooms What amenities are included with that room,"Of course The Comfort Single Room includes air conditioner, television, washing machine, hair dryer, electric kettle and WiFi access with the password being the room number Breakfast is served daily from 930am to 1030am, and you also have access to the gym and free parking near the hotel"
That sounds great What time is checkin and checkout,Our checkin time is 300pm and checkout time is 1200pm Is there anything else I can help you with
"Nope, that should do it What phone number should I call if I have any questions",You can reach us at 1234567789 Our front desk is available 24 hours a day to answer any questions you may have Enjoy your stay at Lihao Hotel
"Hi, I was wondering if I could book a room at your hotel","Hi, of course How can I help"
Im looking for a Comfort Standard Room for the night Can you tell me about the room and the facilities you offer,"Sure The Comfort Standard Room is 108rmb per night It has air conditioner, a washing machine, a hair dryer, and a television We also provide free WiFi with the password being the room number"
Does the Comfort Standard Room include breakfast,"Yes, we provide breakfast from 930 am to 1030 am The breakfast includes hot and cold beverages, seasonal fruits, and pastries"
Are there any other amenities or facilities at Lihao Hotel,"Yes, we have a small gym and a supermarket, cinema and market nearby We also offer free parking near the hotel"
What is the checkin and checkout time,Checkin is at 300 pm and checkout is at 1200 noon
What is the front desk telephone number where I can call and book the room,Our front desk telephone number is 1234567789 Feel free to call us anytime
"Hi, I was wondering if you have any availability for the next few days","Hi, yes we do have availability here at Lihao Hotel Were located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Our checkin time is 300 pm and checkout time is 1200 pm"
Great Id like to book a room for three nights  what rooms do you have available,"We have a variety of room types available, including Comfort Standard Room  108rmb, Comfort Single Room  108rmb, Business Duplex Standard Room  108rmb, Business Duplex King Room  108rmb, Executive Business Standard King Room  128rmb, Fashionable Smart Standard Room  158rmb, Fashionable Smart King Room  158rmb, Leisure Duplex Chess Room  200rmb, Leisure Duplex Chess Room  200rmb and Diversified Smart Film Room  400rmb"
Can you tell me a bit more about the amenities in each of these rooms,"All the rooms are equipped with air conditioner, washing machine, hair dryer, television, electric kettle Breakfast is served from 930 am to 1030 am We also have a gym available for guests, as well as WiFi, with the password being the room number And there are plenty of nearby amenities, including a supermarket, cinema, and a market Of course, we also offer free parking near the hotel"
That sounds great I think Ill book a Fashionable Smart King Room,Excellent Ill just need some details from you to reserve the room What name would you like to make the reservation under
"Hi, I would like to book a room please","Sure What type of room would you like We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Diversified Smart Film Room, and so on"
Could you tell me more about the room types and prices,"Absolutely The Comfort Standard room is 108 RMB, the Comfort Single Room is also 108 RMB, The Business Duplex Standard Room is 108 RMB, the Business Duplex King Room is 108 RMB, the Executive Business Standard King Room is 128 RMB, the Fashionable Smart Standard Room is 158 RMB, the Fashionable Smart King Room is 158 RMB, the Leisure Duplex Chess Room is 200 RMB, the Leisure Duplex Chess Room is also 200 RMB, and the Diversified Smart Film Room is 400 RMB"
