Question,Answer,Question class
I would like to know if it is possible to extend my stay,Absolutely We would be happy to extend your stay for you All you need to do is let us know in advance so that we can make necessary arrangements,1
"Hello, I was wondering if you have any available information about Lihao Hotel","Yes, of course Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden The Checkin Time is 300 pm and Checkout Time is 1200 pm Our Front Desk Telephone Number is 1234567789 We do have various room types available for 108rmb  400rmb Breakfast is served daily from 930 am to 1030 am Our gym is also available for guests WiFi is available and the password will be your room number Nearby amenities include a supermarket, cinema and market Air conditioner, washing machine, hair dryer, television and electric kettle are available in all the rooms Free parking is available near the hotel",4
Thats great What about other services like laundry Do you provide that,"Yes, we do provide laundry services We have a laundry station at the reception where you can drop off your clothes before 5pm and we will take care of them The laundry is available at an additional charge",4
What other amenities do you have to offer at Lihao Hotel,"We have a variety of amenities available to our guests We have a spa with sauna, spa tub, jacuzzi, steam room and massage services We also have a restaurant, bar, nightclub and meeting facilities You can enjoy a variety of entertainment and sports activities like PingPong, pool and a small theatre for live music performances We also have a garden and library for peaceful moments",1
Hi I would like to get more information about Lihao Hotel,"Hello and thank you for your interest in the Lihao Hotel Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We offer a variety of room types, including Comfort Standard Room,  Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, and Diversified Smart Film Room Checkout time is 1200 pm and checkin is at 300 pm",4
What amenities and facilities are available at the hotel,"Lihao Hotel offers free wireless internet with the password being the same as the room number There is a gym available for all guests and nearby amenities include a supermarket, cinema, and market Air conditioner, washing machine, hair dryer, television, and electric kettle are provided in all rooms Free parking is also available near the hotel for our guests Breakfast is served from 930 am to 1030 am",4
Are there any discounts available,"Yes, we are currently offering a 20 discount on all our room types for stays longer than two nights We also offer additional discounts for corporate guests and members of loyalty reward program",1
"Hi, Im calling about the Lihao Hotel",Hi Welcome to the Lihao Hotel How can I help you,4
Im looking for information about the rooms and amenities available at the hotel,"Certainly We offer a number of room types, including Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Room All the rooms come with basic amenities such as air conditioner, television, electric kettle, hair dryer, and washing machine and free WiFi access with the password being the room number",3
Thats great Whats the checkin and checkout time,Checkin time is 300 pm and checkout time is 1200 pm,4
Does the hotel provide breakfast,"Yes, it does We offer breakfast from 930 am to 1030 am",4
Is there a gym in the hotel,"Yes, there is The gym is available for all our guests",4
Is there free parking available near the hotel,Yes We have free parking available near the Lihao Hotel,4
"Are there any other amenities nearby, such as a supermarket or a cinema","Yes, there are quite a few amenities nearby Youll be able to find a supermarket, a cinema, and a market near the hotel",1
Hi I would like to inquire about a room for myself,"Of course, I can help you with that What type of room are you looking for  We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room and Diversified Smart Film Room",1
Im looking to stay for a couple of night so I guess Ill go with the Fashionable Smart King Room,"Ok, the price for Fashionable Smart King Room is 158rmb for 2 night Can I ask for your name and surname please",4
Sure My name is Geoffrey Smith,"Alright, if youd like to proceed, Ill need to take some payment information from you",1
No problem Ill give you my credit card details,"Thank you Please note that you will be able to check in after 3 pm, and check out before 12 pm The hotel features amenities such as a gym, wifi with the password being the room number and supermarket, cinema and market are nearby Would you like any further information",4
Is there free parking available near the hotel,"Yes, free parking is available near the hotel  Is there anything else I can help you with today",4
"Can you tell me if the room includes an air conditioner, washing machine, hair dryer, television and an electric kettle","Yes, each room includes all these appliances Is there anything else I can help you with",4
"No, I think thats all Thank you for your help",You are very welcome I look forward to seeing you soon,1
"Hi, I would like to book a room for one for tonight","Certainly, when will you be checking in",3
Around 3 pm if that works for you,"Yes, 3 pm would be alright We have several different room types available for you We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Room Which one would you like to book",4
